,Pointing_mean,Relevance Rank_mean,Relevance Mass_mean,AuC_mean,Pointing_std,Relevance Rank_std,Relevance Mass_std,AuC_std,ts_length,method,distance_measure,max_iter,n_neighbors,Datasets,Typ,Generation,models
10,0.05,0.09999999999999999,0.1230094519079314,0.5135416666666667,0.22360679774997894,0.12565617248750865,0.035191862176253294,0.1563489247523144,100,dtw_bary_center,dtw,500,1,SimulatedTrainingData_RareTime_PseudoPeriodic_F_1_TS_50.npy,RareTime,PseudoPeriodic,CNN
11,0.25,0.13333333333333336,0.11666969886448797,0.4785984848484849,0.4442616583193193,0.19941434720537293,0.06858296200587913,0.3476077978548188,100,NG,dtw,500,1,SimulatedTrainingData_RareTime_NARMA_F_1_TS_50.npy,RareTime,NARMA,CNN
12,0.3,0.2,0.11950500546815959,0.5419507575757575,0.4701623459816272,0.1279619826583191,0.02779816242345977,0.16263667862399808,100,dtw_bary_center,dtw,500,1,SimulatedTrainingData_RareTime_NARMA_F_1_TS_50.npy,RareTime,NARMA,CNN
13,0.2,0.11666666666666665,0.1265653159669697,0.5355113636363636,0.4103913408340617,0.14408412097843626,0.04761291775064111,0.22673287407996273,100,NG,dtw,500,1,SimulatedTrainingData_RareTime_Harmonic_F_1_TS_50.npy,RareTime,Harmonic,CNN
14,0.15,0.125,0.13948157140554682,0.6392045454545454,0.36634754853252327,0.14178271820390012,0.03799246264663722,0.14930163921320824,100,dtw_bary_center,dtw,500,1,SimulatedTrainingData_RareTime_Harmonic_F_1_TS_50.npy,RareTime,Harmonic,CNN
15,0.2,0.1,0.11250003059376093,0.4767992424242425,0.4103913408340617,0.12565617248750863,0.0626015600132583,0.3033957095881006,100,NG,dtw,500,1,SimulatedTrainingData_RareTime_CAR_F_1_TS_50.npy,RareTime,CAR,CNN
16,0.1,0.03333333333333333,0.09572739393960408,0.42632575757575764,0.30779350562554625,0.1159753956564099,0.03936139451266292,0.1965675911841003,100,dtw_bary_center,dtw,500,1,SimulatedTrainingData_RareTime_CAR_F_1_TS_50.npy,RareTime,CAR,CNN
17,0.15,0.10833333333333332,0.11713969372081694,0.4926136363636364,0.36634754853252327,0.1555503340811216,0.038947098848632115,0.18689732051771885,100,NG,dtw,500,1,SimulatedTrainingData_RareTime_Box_F_1_TS_50.npy,RareTime,Box,CNN
18,0.1,0.07500000000000001,0.10410396450796626,0.4318181818181818,0.30779350562554625,0.13759632458031607,0.03710111053943237,0.1819479285198606,100,dtw_bary_center,dtw,500,1,SimulatedTrainingData_RareTime_Box_F_1_TS_50.npy,RareTime,Box,CNN
19,0.15,0.11666666666666665,0.11982907453324962,0.5042613636363635,0.36634754853252327,0.20304696544257586,0.05145987692742703,0.24908448658541094,100,NG,dtw,500,1,SimulatedTrainingData_RareTime_AutoRegressive_F_1_TS_50.npy,RareTime,AutoRegressive,CNN
20,0.15,0.06666666666666667,0.11166393979186855,0.47007575757575754,0.36634754853252327,0.09970717360268647,0.03754230134180762,0.16150948848659027,100,dtw_bary_center,dtw,500,1,SimulatedTrainingData_RareTime_AutoRegressive_F_1_TS_50.npy,RareTime,AutoRegressive,CNN
21,0.7,0.8125,0.7752294175481598,0.47487500000000005,0.4701623459816272,0.044794854027761045,0.08035091051856993,0.22839035576237268,100,NG,dtw,500,1,SimulatedTrainingData_RareFeature_PseudoPeriodic_F_1_TS_50.npy,RareFeature,PseudoPeriodic,CNN
22,0.45,0.8412499999999999,0.7414645527770454,0.4711874999999999,0.5104177855340405,0.08895408336534316,0.13972422636130766,0.3727214713834758,100,NG,dtw,500,1,SimulatedTrainingData_RareFeature_NARMA_F_1_TS_50.npy,RareFeature,NARMA,CNN
23,0.55,0.825,0.7829825899697662,0.5095,0.5104177855340404,0.06015331289822348,0.08675445909568685,0.27047971516509234,100,NG,dtw,500,1,SimulatedTrainingData_RareFeature_Harmonic_F_1_TS_50.npy,RareFeature,Harmonic,CNN
24,0.45,0.8375,0.7457502304831685,0.4675625,0.5104177855340405,0.08679225044231832,0.12382113505230659,0.3487075466992362,100,NG,dtw,500,1,SimulatedTrainingData_RareFeature_CAR_F_1_TS_50.npy,RareFeature,CAR,CNN
25,0.75,0.8100000000000002,0.7913060183221485,0.4899999999999999,0.4442616583193193,0.0328473342665893,0.050476679427198835,0.17055781162193406,100,NG,dtw,500,1,SimulatedTrainingData_RareFeature_Box_F_1_TS_50.npy,RareFeature,Box,CNN
26,,,,,,,,,100,NG,dtw,500,1,SimulatedTrainingData_PostionalTime_NARMA_F_1_TS_50.npy,PostionalTime,NARMA,CNN
27,,,,,,,,,100,dtw_bary_center,dtw,500,1,SimulatedTrainingData_PostionalTime_NARMA_F_1_TS_50.npy,PostionalTime,NARMA,CNN
28,,,,,,,,,100,NG,dtw,500,1,SimulatedTrainingData_PostionalTime_Box_F_1_TS_50.npy,PostionalTime,Box,CNN
29,,,,,,,,,100,dtw_bary_center,dtw,500,1,SimulatedTrainingData_PostionalTime_Box_F_1_TS_50.npy,PostionalTime,Box,CNN
30,,,,,,,,,100,NG,dtw,500,1,SimulatedTrainingData_PostionalTime_PseudoPeriodic_F_1_TS_50.npy,PostionalTime,PseudoPeriodic,CNN
31,,,,,,,,,100,dtw_bary_center,dtw,500,1,SimulatedTrainingData_PostionalTime_PseudoPeriodic_F_1_TS_50.npy,PostionalTime,PseudoPeriodic,CNN
32,,,,,,,,,100,NG,dtw,500,1,SimulatedTrainingData_PostionalFeature_Harmonic_F_1_TS_50.npy,PostionalFeature,Harmonic,CNN
33,,,,,,,,,100,dtw_bary_center,dtw,500,1,SimulatedTrainingData_PostionalFeature_Harmonic_F_1_TS_50.npy,PostionalFeature,Harmonic,CNN
34,,,,,,,,,100,NG,dtw,500,1,SimulatedTrainingData_PostionalFeature_CAR_F_1_TS_50.npy,PostionalFeature,CAR,CNN
35,,,,,,,,,100,dtw_bary_center,dtw,500,1,SimulatedTrainingData_PostionalFeature_CAR_F_1_TS_50.npy,PostionalFeature,CAR,CNN
36,,,,,,,,,100,NG,dtw,500,1,SimulatedTrainingData_PostionalFeature_Box_F_1_TS_50.npy,PostionalFeature,Box,CNN
37,,,,,,,,,100,dtw_bary_center,dtw,500,1,SimulatedTrainingData_PostionalFeature_Box_F_1_TS_50.npy,PostionalFeature,Box,CNN
38,,,,,,,,,100,NG,dtw,500,1,SimulatedTrainingData_PostionalFeature_AutoRegressive_F_1_TS_50.npy,PostionalFeature,AutoRegressive,CNN
39,,,,,,,,,100,dtw_bary_center,dtw,500,1,SimulatedTrainingData_PostionalFeature_AutoRegressive_F_1_TS_50.npy,PostionalFeature,AutoRegressive,CNN
40,,,,,,,,,100,NG,dtw,500,1,SimulatedTrainingData_Moving_SmallMiddle_NARMA_F_1_TS_50.npy,SmallMiddle,NARMA,CNN
41,,,,,,,,,100,dtw_bary_center,dtw,500,1,SimulatedTrainingData_Moving_SmallMiddle_NARMA_F_1_TS_50.npy,SmallMiddle,NARMA,CNN
42,,,,,,,,,100,NG,dtw,500,1,SimulatedTrainingData_Moving_SmallMiddle_Harmonic_F_1_TS_50.npy,SmallMiddle,Harmonic,CNN
43,,,,,,,,,100,dtw_bary_center,dtw,500,1,SimulatedTrainingData_Moving_SmallMiddle_Harmonic_F_1_TS_50.npy,SmallMiddle,Harmonic,CNN
44,,,,,,,,,100,NG,dtw,500,1,SimulatedTrainingData_Moving_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,CNN
45,,,,,,,,,100,NG,dtw,500,1,SimulatedTrainingData_Moving_RareTime_PseudoPeriodic_F_1_TS_50.npy,RareTime,PseudoPeriodic,CNN
46,,,,,,,,,100,dtw_bary_center,dtw,500,1,SimulatedTrainingData_Moving_RareTime_PseudoPeriodic_F_1_TS_50.npy,RareTime,PseudoPeriodic,CNN
47,,,,,,,,,100,NG,dtw,500,1,SimulatedTrainingData_Moving_RareTime_Harmonic_F_1_TS_50.npy,RareTime,Harmonic,CNN
48,,,,,,,,,100,dtw_bary_center,dtw,500,1,SimulatedTrainingData_Moving_RareTime_Harmonic_F_1_TS_50.npy,RareTime,Harmonic,CNN
49,,,,,,,,,100,NG,dtw,500,1,SimulatedTrainingData_Moving_RareTime_Box_F_1_TS_50.npy,RareTime,Box,CNN
50,,,,,,,,,100,dtw_bary_center,dtw,500,1,SimulatedTrainingData_Moving_RareTime_Box_F_1_TS_50.npy,RareTime,Box,CNN
51,,,,,,,,,100,NG,dtw,500,1,SimulatedTrainingData_Moving_RareTime_AutoRegressive_F_1_TS_50.npy,RareTime,AutoRegressive,CNN
52,,,,,,,,,100,NG,dtw,500,1,SimulatedTrainingData_Moving_RareFeature_CAR_F_1_TS_50.npy,RareFeature,CAR,CNN
53,,,,,,,,,100,dtw_bary_center,dtw,500,1,SimulatedTrainingData_Moving_RareFeature_CAR_F_1_TS_50.npy,RareFeature,CAR,CNN
54,,,,,,,,,100,NG,dtw,500,1,SimulatedTrainingData_Moving_RareFeature_Box_F_1_TS_50.npy,RareFeature,Box,CNN
55,,,,,,,,,100,dtw_bary_center,dtw,500,1,SimulatedTrainingData_Moving_RareFeature_Box_F_1_TS_50.npy,RareFeature,Box,CNN
56,,,,,,,,,100,NG,dtw,500,1,SimulatedTrainingData_Moving_RareFeature_AutoRegressive_F_1_TS_50.npy,RareFeature,AutoRegressive,CNN
57,,,,,,,,,100,NG,dtw,500,1,SimulatedTrainingData_Moving_Middle_PseudoPeriodic_F_1_TS_50.npy,Middle,PseudoPeriodic,CNN
58,,,,,,,,,100,dtw_bary_center,dtw,500,1,SimulatedTrainingData_Moving_Middle_PseudoPeriodic_F_1_TS_50.npy,Middle,PseudoPeriodic,CNN
59,,,,,,,,,100,NG,dtw,500,1,SimulatedTrainingData_Moving_Middle_Harmonic_F_1_TS_50.npy,Middle,Harmonic,CNN
60,,,,,,,,,100,dtw_bary_center,dtw,500,1,SimulatedTrainingData_Moving_Middle_Harmonic_F_1_TS_50.npy,Middle,Harmonic,CNN
61,,,,,,,,,100,NG,dtw,500,1,SimulatedTrainingData_Moving_Middle_Box_F_1_TS_50.npy,Middle,Box,CNN
62,0.65,0.6083333333333333,0.5878981123797578,0.49833333333333335,0.4893604849295929,0.11489888766200008,0.08540891112811212,0.18663181065546683,100,NG,dtw,500,1,SimulatedTrainingData_Middle_PseudoPeriodic_F_1_TS_50.npy,Middle,PseudoPeriodic,CNN
63,0.55,0.6016666666666667,0.5625703255014962,0.4535,0.5104177855340404,0.10622441212355166,0.10237939950951719,0.13882142806097658,100,dtw_bary_center,dtw,500,1,SimulatedTrainingData_Middle_PseudoPeriodic_F_1_TS_50.npy,Middle,PseudoPeriodic,CNN
64,0.3,0.5583333333333335,0.5040384647788592,0.3715833333333334,0.4701623459816272,0.2068632341930743,0.14878890678389914,0.34723973172226374,100,NG,dtw,500,1,SimulatedTrainingData_Middle_NARMA_F_1_TS_50.npy,Middle,NARMA,CNN
65,0.45,0.6066666666666667,0.5725646262110884,0.47804166666666675,0.5104177855340405,0.12406374516955819,0.10629863549230008,0.22296435790874922,100,NG,dtw,500,1,SimulatedTrainingData_Middle_Harmonic_F_1_TS_50.npy,Middle,Harmonic,CNN
66,0.65,0.6699999999999999,0.6196214848294608,0.5874583333333333,0.4893604849295929,0.08911520895916847,0.0668001504340337,0.14043621343463958,100,dtw_bary_center,dtw,500,1,SimulatedTrainingData_Middle_Harmonic_F_1_TS_50.npy,Middle,Harmonic,CNN
67,0.4,0.5783333333333334,0.5115230181599345,0.4222083333333333,0.5026246899500346,0.19504835207999788,0.16826062766832758,0.34187010150226593,100,NG,dtw,500,1,SimulatedTrainingData_Middle_CAR_F_1_TS_50.npy,Middle,CAR,CNN
68,0.6,0.6466666666666666,0.6037241643055307,0.5551666666666668,0.5026246899500346,0.13350865666131456,0.07097269933281515,0.18771626903606067,100,dtw_bary_center,dtw,500,1,SimulatedTrainingData_Middle_CAR_F_1_TS_50.npy,Middle,CAR,CNN
69,0.7,0.6333333333333334,0.6065837432756095,0.5431250000000001,0.4701623459816272,0.11697953037312034,0.0829523428975112,0.18078085078008657,100,NG,dtw,500,1,SimulatedTrainingData_Middle_Box_F_1_TS_50.npy,Middle,Box,CNN
70,0.6,0.535,0.550091417000236,0.3915,0.5026246899500346,0.07130775078234781,0.058827405118901284,0.12352657928346304,100,NG,dtw,500,1,SimulatedTrainingData_Middle_AutoRegressive_F_1_TS_50.npy,Middle,AutoRegressive,CNN
71,0.6,0.6616666666666665,0.6309599543323647,0.5930416666666667,0.5026246899500346,0.07435885802029152,0.05878806490235293,0.1317993654533971,100,dtw_bary_center,dtw,500,1,SimulatedTrainingData_Middle_AutoRegressive_F_1_TS_50.npy,Middle,AutoRegressive,CNN
