,monoton_uniform_mean,monoton_corr_uniform_mean,faithfulness_correlation_uniform_mean,monoton_mean_mean,monoton_corr_mean_mean,faithfulness_correlation_mean_mean,monoton_synthetic_mean,monoton_corr_synthetic_mean,faithfulness_correlation_synthetic_mean,monoton_uniform_std,monoton_corr_uniform_std,faithfulness_correlation_uniform_std,monoton_mean_std,monoton_corr_mean_std,faithfulness_correlation_mean_std,monoton_synthetic_std,monoton_corr_synthetic_std,faithfulness_correlation_synthetic_std,ts_length,method,distance_measure,max_iter,n_neighbors,Datasets,Typ,Generation,models
17,0.0,0.05290055887073627,-0.005915797422625101,1.0,0.028667507774379607,-0.016492880744123452,1.0,0.029205416779575603,-0.045780771623637466,0.0,0.10086101693472797,0.07536335103285993,0.0,0.11836583691939748,0.13650584884945946,0.0,0.11465175869103202,0.1593999712359354,50,dtw_bary_center,dtw,500,1,SimulatedTrainingData_PostionalFeature_Box_F_1_TS_50.npy,PostionalFeature,Box,CNN
18,0.0,-0.022772445961936328,-0.016765937058794256,1.0,-0.09524497562002848,-0.05814169118827771,1.0,-0.03382323168892508,0.04375784428992177,0.0,0.2649229323672849,0.18301530119698672,0.0,0.27248520931112047,0.5277581678230334,0.0,0.23780545046097362,0.3370894493616601,50,NG,dtw,500,1,SimulatedTrainingData_PostionalFeature_AutoRegressive_F_1_TS_50.npy,PostionalFeature,AutoRegressive,CNN
19,0.0,-0.08237142375317326,0.014363486322387936,1.0,-0.09307716567727761,-0.11093228372780588,1.0,0.12604719273036055,-0.10343868321126279,0.0,0.21994519371609925,0.1334245579684456,0.0,0.21504147935385615,0.2597114645417874,0.0,0.15738190923781867,0.15178105312005297,50,dtw_bary_center,dtw,500,1,SimulatedTrainingData_PostionalFeature_AutoRegressive_F_1_TS_50.npy,PostionalFeature,AutoRegressive,CNN
20,0.0,-0.059725961598287705,-0.01978485560921503,1.0,-0.04024311063141124,-0.02233274111738406,1.0,-0.14030656353352064,0.05577245136493577,0.0,0.1346310787251037,0.1244571715054552,0.0,0.1419080320916934,0.10236076838663256,0.0,0.12084586060433011,0.0947797606062185,50,NG,dtw,500,1,SimulatedTrainingData_Moving_SmallMiddle_NARMA_F_1_TS_50.npy,SmallMiddle,NARMA,CNN
21,0.0,-0.000296905401247536,-0.0030524836868296478,1.0,-0.002650205528417729,-0.028314320920212428,1.0,-0.011000712741483227,0.02421398070069563,0.0,0.14676890491618588,0.10138729496247073,0.0,0.1680262354355773,0.13635808792738546,0.0,0.20068104779079077,0.1925796360866946,50,dtw_bary_center,dtw,500,1,SimulatedTrainingData_Moving_SmallMiddle_NARMA_F_1_TS_50.npy,SmallMiddle,NARMA,CNN
22,0.0,-0.03693120513267129,0.04100737190314578,1.0,-0.03499378326645287,0.039362119116625786,1.0,-0.06971011087574101,0.04080686758028824,0.0,0.18819935931351986,0.08534359587906408,0.0,0.1286255243633341,0.13991438147403407,0.0,0.13940851018712197,0.11763167437168241,50,NG,dtw,500,1,SimulatedTrainingData_Moving_SmallMiddle_Harmonic_F_1_TS_50.npy,SmallMiddle,Harmonic,CNN
23,0.0,-0.010770475325795024,-0.014619625152956343,1.0,0.0031796955108319646,0.039592448034124136,1.0,0.004394537909800613,0.03299105811578504,0.0,0.16958683298548274,0.13156618209346552,0.0,0.1538808150241465,0.13309887375423307,0.0,0.1378473541734668,0.10488376753111524,50,dtw_bary_center,dtw,500,1,SimulatedTrainingData_Moving_SmallMiddle_Harmonic_F_1_TS_50.npy,SmallMiddle,Harmonic,CNN
24,0.0,0.003448263999446554,0.04234218510553052,1.0,-0.001487613620986969,0.01933412496017268,1.0,-0.10023793711628452,0.020519840047779726,0.0,0.15167807316105567,0.1009055069820766,0.0,0.10652411241180262,0.14146686811066816,0.0,0.14382077076750424,0.11831991855173292,50,NG,dtw,500,1,SimulatedTrainingData_Moving_RareTime_PseudoPeriodic_F_1_TS_50.npy,RareTime,PseudoPeriodic,CNN
25,0.0,-0.0036461997528776475,0.0032613200682313492,1.0,0.0016909583778505336,0.03998467303446999,1.0,-0.015223408384238255,0.005988237356479633,0.0,0.10312900303368872,0.09454470618387688,0.0,0.10670543902477468,0.12759767152452667,0.0,0.15614235520703768,0.15175663171363143,50,dtw_bary_center,dtw,500,1,SimulatedTrainingData_Moving_RareTime_PseudoPeriodic_F_1_TS_50.npy,RareTime,PseudoPeriodic,CNN
26,0.0,0.005162843149748032,0.02986097148310967,1.0,0.026849642823387622,0.040460508932161854,1.0,0.003432312361058905,-0.015303959053685649,0.0,0.15160818896932213,0.11534870255905375,0.0,0.10075462212335076,0.11574294821780337,0.0,0.14402652387698897,0.13641408258686716,50,NG,dtw,500,1,SimulatedTrainingData_Moving_RareTime_Harmonic_F_1_TS_50.npy,RareTime,Harmonic,CNN
27,0.0,0.0116081762345453,-0.002851489457080017,1.0,0.05316146797340322,0.034084965810731616,1.0,0.008562973666291177,-0.043912689208937795,0.0,0.14675753293115792,0.10780939283291507,0.0,0.1408580437117787,0.1322378680701785,0.0,0.12787218622604277,0.12297494245355287,50,dtw_bary_center,dtw,500,1,SimulatedTrainingData_Moving_RareTime_Harmonic_F_1_TS_50.npy,RareTime,Harmonic,CNN
28,0.0,-0.013174140130887186,-0.026144848718706565,1.0,0.04178580472229666,-0.05555106046064835,1.0,0.008149945116919582,0.054492105441390645,0.0,0.1303387146827302,0.14240168092797176,0.0,0.11591172367982736,0.18447038687996892,0.0,0.15590621126740958,0.1271558906829162,50,NG,dtw,500,1,SimulatedTrainingData_Moving_RareTime_Box_F_1_TS_50.npy,RareTime,Box,CNN
29,0.0,-0.012127782423411976,0.016034197258177504,1.0,0.046580242691300025,-0.0022109626704857194,1.0,0.015652663360332792,-0.010248586635727395,0.0,0.16693595998521477,0.10359733211836573,0.0,0.1445910383118183,0.14507104128594717,0.0,0.15796376725575767,0.1213359403345797,50,dtw_bary_center,dtw,500,1,SimulatedTrainingData_Moving_RareTime_Box_F_1_TS_50.npy,RareTime,Box,CNN
30,0.0,-0.013955083180949544,0.0032745849059135092,1.0,0.01253879975001448,-0.0010529429161620408,1.0,-0.25975784599954943,0.032239132865544536,0.0,0.13494059589669208,0.10414624335251409,0.0,0.14294621729115023,0.1512344354184682,0.0,0.14452847352320258,0.10934119254174039,50,NG,dtw,500,1,SimulatedTrainingData_Moving_RareFeature_CAR_F_1_TS_50.npy,RareFeature,CAR,CNN
31,0.0,0.020172184638286916,-0.009338020466888475,1.0,0.05623882428068283,-0.028254470383066645,1.0,-0.035947565846036166,0.011928297332737803,0.0,0.1737828250695774,0.09227539351936635,0.0,0.13284466074515053,0.15654125617638115,0.0,0.21857646581639897,0.10715578340612855,50,dtw_bary_center,dtw,500,1,SimulatedTrainingData_Moving_RareFeature_CAR_F_1_TS_50.npy,RareFeature,CAR,CNN
32,0.0,0.045967175470022846,0.04790412721755404,1.0,0.012144733264112004,0.026452599230694873,1.0,0.044130697099384796,-0.03805230198450391,0.0,0.1589890622462477,0.07149021657701606,0.0,0.1270118302026982,0.1501707279250845,0.0,0.15071645532369862,0.1007518320380776,50,NG,dtw,500,1,SimulatedTrainingData_Moving_RareFeature_Box_F_1_TS_50.npy,RareFeature,Box,CNN
33,0.0,-0.020425392498357446,-0.0469028293083006,1.0,-0.02410863200681923,-0.0479115410588958,1.0,-0.01836029772417464,0.005983673579318059,0.0,0.13779578115124755,0.14871411150524705,0.0,0.13349677263958143,0.14787150982613126,0.0,0.19006198105049096,0.09788534617853768,50,dtw_bary_center,dtw,500,1,SimulatedTrainingData_Moving_RareFeature_Box_F_1_TS_50.npy,RareFeature,Box,CNN
34,0.0,-0.016297532735717636,0.02101594070845197,1.0,0.0013910887502070195,-0.007292917481916086,1.0,-0.04885586642047752,0.002151077399666433,0.0,0.12467093935212258,0.1040035439934307,0.0,0.12585680285966552,0.13096740600549533,0.0,0.1500309769675412,0.14178153625413242,50,NG,dtw,500,1,SimulatedTrainingData_Moving_Middle_Harmonic_F_1_TS_50.npy,Middle,Harmonic,CNN
35,0.0,-0.08671459208197566,-0.048727977638228906,1.0,-0.06547994810486227,0.02783820541869971,1.0,-0.058153448291701625,0.035058622911495994,0.0,0.1592177522990688,0.10054956524455787,0.0,0.1343082815272159,0.10870366704003478,0.0,0.15713933796205695,0.12105198848944067,50,dtw_bary_center,dtw,500,1,SimulatedTrainingData_Moving_Middle_Harmonic_F_1_TS_50.npy,Middle,Harmonic,CNN
36,0.2,-0.07631223905207593,-0.03824814047336305,1.0,0.023550603112262807,-0.09731544674794833,1.0,-0.16759898298875955,-0.026928432041372945,0.4103913408340617,0.2542360291274353,0.16266549102454994,0.0,0.17733184042862438,0.19721681746140457,0.0,0.3182422247643636,0.10890325746339263,50,NG,dtw,500,1,SimulatedTrainingData_Middle_AutoRegressive_F_1_TS_50.npy,Middle,AutoRegressive,CNN
37,0.2,-0.0904628521352676,0.0003913823170667116,1.0,0.06661696756051669,0.02145954097114563,1.0,-0.0710388564523635,-0.012664221370499777,0.4103913408340617,0.22263615927343405,0.10615813918932045,0.0,0.1545044872639371,0.20550456582162335,0.0,0.1321057844954523,0.13040148614287675,50,dtw_bary_center,dtw,500,1,SimulatedTrainingData_Middle_AutoRegressive_F_1_TS_50.npy,Middle,AutoRegressive,CNN
