,model,name,acc,f1,prec,rec,auc
111,LSTM,SimulatedTrainingData_PostionalTime_AutoRegressive_F_1_TS_50.npy,0.43,0.4299999999999999,1.0,0.43,0.5
112,LSTM_ATT,SimulatedTrainingData_PostionalTime_AutoRegressive_F_1_TS_50.npy,0.43,0.4299999999999999,1.0,0.43,0.5
113,CNN,SimulatedTrainingData_PostionalTime_AutoRegressive_F_1_TS_50.npy,0.43,0.4299999999999999,1.0,0.43,0.5
114,LSTM,SimulatedTrainingData_PostionalTime_Box_F_1_TS_50.npy,0.43,0.4299999999999999,1.0,0.43,0.5
115,LSTM_ATT,SimulatedTrainingData_PostionalTime_Box_F_1_TS_50.npy,0.43,0.4299999999999999,1.0,0.43,0.5
116,CNN,SimulatedTrainingData_PostionalTime_Box_F_1_TS_50.npy,0.45,0.45,0.7209302325581395,0.4189189189189189,0.4832721338229294
117,LSTM,SimulatedTrainingData_PostionalTime_CAR_F_1_TS_50.npy,0.43,0.4299999999999999,1.0,0.43,0.5
118,LSTM_ATT,SimulatedTrainingData_PostionalTime_CAR_F_1_TS_50.npy,0.43,0.4299999999999999,1.0,0.43,0.5
119,CNN,SimulatedTrainingData_PostionalTime_CAR_F_1_TS_50.npy,0.43,0.4299999999999999,1.0,0.43,0.5
120,LSTM,SimulatedTrainingData_PostionalTime_Harmonic_F_1_TS_50.npy,0.54,0.54,1.0,0.54,0.5
121,LSTM_ATT,SimulatedTrainingData_PostionalTime_Harmonic_F_1_TS_50.npy,0.54,0.54,1.0,0.54,0.5
122,CNN,SimulatedTrainingData_PostionalTime_Harmonic_F_1_TS_50.npy,0.54,0.54,1.0,0.54,0.5
123,LSTM,SimulatedTrainingData_PostionalTime_NARMA_F_1_TS_50.npy,0.56,0.56,0.0,0.0,0.5
124,LSTM_ATT,SimulatedTrainingData_PostionalTime_NARMA_F_1_TS_50.npy,0.56,0.56,0.0,0.0,0.5
125,CNN,SimulatedTrainingData_PostionalTime_NARMA_F_1_TS_50.npy,0.49,0.49,0.2954545454545454,0.3939393939393939,0.4691558441558441
126,LSTM,SimulatedTrainingData_RareFeature_AutoRegressive_F_1_TS_50.npy,0.87,0.87,0.9090909090909092,0.8620689655172413,0.8656565656565656
127,LSTM_ATT,SimulatedTrainingData_RareFeature_AutoRegressive_F_1_TS_50.npy,0.85,0.85,0.9454545454545454,0.8125,0.8393939393939395
128,CNN,SimulatedTrainingData_RareFeature_AutoRegressive_F_1_TS_50.npy,0.99,0.99,1.0,0.9821428571428572,0.9888888888888888
129,LSTM,SimulatedTrainingData_RareFeature_Box_F_1_TS_50.npy,0.52,0.52,0.0,0.0,0.5
130,LSTM_ATT,SimulatedTrainingData_RareFeature_Box_F_1_TS_50.npy,0.99,0.99,1.0,0.979591836734694,0.9903846153846152
131,CNN,SimulatedTrainingData_RareFeature_Box_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
132,LSTM,SimulatedTrainingData_RareFeature_CAR_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
133,LSTM_ATT,SimulatedTrainingData_RareFeature_CAR_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
134,CNN,SimulatedTrainingData_RareFeature_CAR_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
135,LSTM,SimulatedTrainingData_RareFeature_Harmonic_F_1_TS_50.npy,0.59,0.59,0.0,0.0,0.5
136,LSTM_ATT,SimulatedTrainingData_RareFeature_Harmonic_F_1_TS_50.npy,0.99,0.99,0.975609756097561,1.0,0.9878048780487804
137,CNN,SimulatedTrainingData_RareFeature_Harmonic_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
138,LSTM,SimulatedTrainingData_RareFeature_NARMA_F_1_TS_50.npy,0.52,0.52,1.0,0.4893617021276595,0.5555555555555556
139,LSTM_ATT,SimulatedTrainingData_RareFeature_NARMA_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
140,CNN,SimulatedTrainingData_RareFeature_NARMA_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
141,LSTM,SimulatedTrainingData_RareFeature_PseudoPeriodic_F_1_TS_50.npy,0.99,0.99,1.0,0.9818181818181818,0.9891304347826088
142,LSTM_ATT,SimulatedTrainingData_RareFeature_PseudoPeriodic_F_1_TS_50.npy,0.99,0.99,1.0,0.9818181818181818,0.9891304347826088
143,CNN,SimulatedTrainingData_RareFeature_PseudoPeriodic_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
144,LSTM,SimulatedTrainingData_RareTime_AutoRegressive_F_1_TS_50.npy,0.92,0.92,0.9607843137254902,0.8909090909090909,0.9191676670668268
145,LSTM_ATT,SimulatedTrainingData_RareTime_AutoRegressive_F_1_TS_50.npy,0.62,0.62,0.803921568627451,0.5942028985507246,0.6162464985994398
146,CNN,SimulatedTrainingData_RareTime_AutoRegressive_F_1_TS_50.npy,0.95,0.95,0.9411764705882352,0.96,0.9501800720288116
147,LSTM,SimulatedTrainingData_RareTime_Box_F_1_TS_50.npy,0.53,0.53,0.1632653061224489,0.5714285714285714,0.5228091236494598
148,LSTM_ATT,SimulatedTrainingData_RareTime_Box_F_1_TS_50.npy,0.85,0.85,0.979591836734694,0.7741935483870968,0.8525410164065625
149,CNN,SimulatedTrainingData_RareTime_Box_F_1_TS_50.npy,0.99,0.99,0.979591836734694,1.0,0.9897959183673468
150,LSTM,SimulatedTrainingData_RareTime_CAR_F_1_TS_50.npy,0.41,0.41,0.0,0.0,0.5
151,LSTM_ATT,SimulatedTrainingData_RareTime_CAR_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
152,CNN,SimulatedTrainingData_RareTime_CAR_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
153,LSTM,SimulatedTrainingData_RareTime_Harmonic_F_1_TS_50.npy,0.49,0.49,0.9607843137254902,0.5,0.4803921568627451
154,LSTM_ATT,SimulatedTrainingData_RareTime_Harmonic_F_1_TS_50.npy,0.96,0.96,0.9607843137254902,0.9607843137254902,0.959983993597439
155,CNN,SimulatedTrainingData_RareTime_Harmonic_F_1_TS_50.npy,0.98,0.98,0.9607843137254902,1.0,0.9803921568627452
156,LSTM,SimulatedTrainingData_RareTime_NARMA_F_1_TS_50.npy,0.45,0.45,1.0,0.45,0.5
157,LSTM_ATT,SimulatedTrainingData_RareTime_NARMA_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
158,CNN,SimulatedTrainingData_RareTime_NARMA_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
159,LSTM,SimulatedTrainingData_RareTime_PseudoPeriodic_F_1_TS_50.npy,0.44,0.44,1.0,0.44,0.5
160,LSTM_ATT,SimulatedTrainingData_RareTime_PseudoPeriodic_F_1_TS_50.npy,0.9,0.9,0.9545454545454546,0.84,0.905844155844156
161,CNN,SimulatedTrainingData_RareTime_PseudoPeriodic_F_1_TS_50.npy,0.97,0.97,0.9772727272727272,0.9555555555555556,0.9707792207792209
162,LSTM,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,0.48,0.48,0.5957446808510638,0.4590163934426229,0.4865515857085508
163,LSTM_ATT,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,0.73,0.7299999999999999,0.574468085106383,0.7941176470588235,0.7211963067041349
164,CNN,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,0.96,0.96,0.9361702127659576,0.9777777777777776,0.9586511441188278
165,LSTM,SimulatedTrainingData_SmallMiddle_Box_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
166,LSTM_ATT,SimulatedTrainingData_SmallMiddle_Box_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
167,CNN,SimulatedTrainingData_SmallMiddle_Box_F_1_TS_50.npy,0.46,0.46,0.0,0.0,0.5
168,LSTM,SimulatedTrainingData_SmallMiddle_CAR_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
169,LSTM_ATT,SimulatedTrainingData_SmallMiddle_CAR_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
170,CNN,SimulatedTrainingData_SmallMiddle_CAR_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
171,LSTM,SimulatedTrainingData_SmallMiddle_Harmonic_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
172,LSTM_ATT,SimulatedTrainingData_SmallMiddle_Harmonic_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
173,CNN,SimulatedTrainingData_SmallMiddle_Harmonic_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
174,LSTM,SimulatedTrainingData_SmallMiddle_NARMA_F_1_TS_50.npy,0.46,0.46,0.2884615384615384,0.46875,0.4671474358974358
175,LSTM_ATT,SimulatedTrainingData_SmallMiddle_NARMA_F_1_TS_50.npy,0.48,0.48,0.0,0.0,0.5
176,CNN,SimulatedTrainingData_SmallMiddle_NARMA_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
177,LSTM,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
178,LSTM_ATT,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_1_TS_50.npy,0.99,0.99,1.0,0.9791666666666666,0.9905660377358492
179,CNN,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
