,model,name,acc,f1,prec,rec,auc
60,LSTM,SimulatedTrainingData_Moving_RareTime_NARMA_F_50_TS_50.npy,0.39,0.39,0.975,0.3939393939393939,0.4875
61,LSTM_ATT,SimulatedTrainingData_Moving_RareTime_NARMA_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
62,CNN,SimulatedTrainingData_Moving_RareTime_NARMA_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
63,LSTM,SimulatedTrainingData_Moving_RareTime_PseudoPeriodic_F_50_TS_50.npy,0.5,0.5,1.0,0.5,0.5
64,LSTM_ATT,SimulatedTrainingData_Moving_RareTime_PseudoPeriodic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
65,CNN,SimulatedTrainingData_Moving_RareTime_PseudoPeriodic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
66,LSTM,SimulatedTrainingData_Moving_SmallMiddle_AutoRegressive_F_50_TS_50.npy,0.8,0.8000000000000002,0.9782608695652174,0.703125,0.8132045088566827
67,LSTM_ATT,SimulatedTrainingData_Moving_SmallMiddle_AutoRegressive_F_50_TS_50.npy,0.89,0.89,0.8913043478260869,0.8723404255319149,0.8900966183574879
68,CNN,SimulatedTrainingData_Moving_SmallMiddle_AutoRegressive_F_50_TS_50.npy,0.54,0.54,0.0,0.0,0.5
69,LSTM,SimulatedTrainingData_Moving_SmallMiddle_Box_F_50_TS_50.npy,0.52,0.52,0.2,0.4285714285714285,0.4909090909090909
70,LSTM_ATT,SimulatedTrainingData_Moving_SmallMiddle_Box_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
71,CNN,SimulatedTrainingData_Moving_SmallMiddle_Box_F_50_TS_50.npy,0.55,0.55,0.0,0.0,0.5
72,LSTM,SimulatedTrainingData_Moving_SmallMiddle_CAR_F_50_TS_50.npy,0.45,0.45,1.0,0.45,0.5
73,LSTM_ATT,SimulatedTrainingData_Moving_SmallMiddle_CAR_F_50_TS_50.npy,0.98,0.98,1.0,0.9574468085106383,0.9818181818181818
74,CNN,SimulatedTrainingData_Moving_SmallMiddle_CAR_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
75,LSTM,SimulatedTrainingData_Moving_SmallMiddle_Harmonic_F_50_TS_50.npy,0.45,0.45,1.0,0.4444444444444444,0.5089285714285714
76,LSTM_ATT,SimulatedTrainingData_Moving_SmallMiddle_Harmonic_F_50_TS_50.npy,0.99,0.99,1.0,0.9777777777777776,0.9910714285714284
77,CNN,SimulatedTrainingData_Moving_SmallMiddle_Harmonic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
78,LSTM,SimulatedTrainingData_Moving_SmallMiddle_NARMA_F_50_TS_50.npy,0.91,0.91,0.9545454545454546,0.8571428571428571,0.9147727272727272
79,LSTM_ATT,SimulatedTrainingData_Moving_SmallMiddle_NARMA_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
80,CNN,SimulatedTrainingData_Moving_SmallMiddle_NARMA_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
81,LSTM,SimulatedTrainingData_Moving_Middle_Harmonic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
82,LSTM_ATT,SimulatedTrainingData_Moving_Middle_Harmonic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
83,CNN,SimulatedTrainingData_Moving_Middle_Harmonic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
84,LSTM,SimulatedTrainingData_Moving_RareTime_Box_F_50_TS_50.npy,0.5,0.5,0.6,0.5,0.5
85,LSTM_ATT,SimulatedTrainingData_Moving_RareTime_Box_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
86,CNN,SimulatedTrainingData_Moving_RareTime_Box_F_50_TS_50.npy,0.5,0.5,1.0,0.5,0.5
87,LSTM,SimulatedTrainingData_Moving_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,0.5,0.5,1.0,0.5,0.5
88,LSTM_ATT,SimulatedTrainingData_Moving_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
89,CNN,SimulatedTrainingData_Moving_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
90,LSTM,SimulatedTrainingData_PostionalTime_Harmonic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
91,LSTM_ATT,SimulatedTrainingData_PostionalTime_Harmonic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
92,CNN,SimulatedTrainingData_PostionalTime_Harmonic_F_50_TS_50.npy,0.47,0.47,0.0,0.0,0.5
93,LSTM,SimulatedTrainingData_PostionalFeature_AutoRegressive_F_50_TS_50.npy,0.99,0.99,1.0,0.9767441860465116,0.9913793103448276
94,LSTM_ATT,SimulatedTrainingData_PostionalFeature_AutoRegressive_F_50_TS_50.npy,0.6,0.6,0.0476190476190476,1.0,0.5238095238095238
95,CNN,SimulatedTrainingData_PostionalFeature_AutoRegressive_F_50_TS_50.npy,0.42,0.4199999999999999,1.0,0.42,0.5
96,LSTM,SimulatedTrainingData_PostionalFeature_Box_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
97,LSTM_ATT,SimulatedTrainingData_PostionalFeature_Box_F_50_TS_50.npy,0.48,0.48,0.0,0.0,0.5
98,CNN,SimulatedTrainingData_PostionalFeature_Box_F_50_TS_50.npy,0.48,0.48,0.0,0.0,0.5
99,LSTM,SimulatedTrainingData_PostionalFeature_CAR_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
100,LSTM_ATT,SimulatedTrainingData_PostionalFeature_CAR_F_50_TS_50.npy,0.55,0.55,0.1346153846153846,1.0,0.5673076923076923
101,CNN,SimulatedTrainingData_PostionalFeature_CAR_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
102,LSTM,SimulatedTrainingData_PostionalFeature_Harmonic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
103,LSTM_ATT,SimulatedTrainingData_PostionalFeature_Harmonic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
104,CNN,SimulatedTrainingData_PostionalFeature_Harmonic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
105,LSTM,SimulatedTrainingData_PostionalFeature_NARMA_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
106,LSTM_ATT,SimulatedTrainingData_PostionalFeature_NARMA_F_50_TS_50.npy,0.47,0.47,0.0,0.0,0.5
107,CNN,SimulatedTrainingData_PostionalFeature_NARMA_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
108,LSTM,SimulatedTrainingData_PostionalFeature_PseudoPeriodic_F_50_TS_50.npy,0.49,0.49,0.0,0.0,0.5
109,LSTM_ATT,SimulatedTrainingData_PostionalFeature_PseudoPeriodic_F_50_TS_50.npy,0.99,0.99,0.9803921568627452,1.0,0.9901960784313726
110,CNN,SimulatedTrainingData_PostionalFeature_PseudoPeriodic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
111,LSTM,SimulatedTrainingData_PostionalTime_AutoRegressive_F_50_TS_50.npy,0.95,0.95,0.9130434782608696,0.9767441860465116,0.9472624798711756
112,LSTM_ATT,SimulatedTrainingData_PostionalTime_AutoRegressive_F_50_TS_50.npy,0.98,0.98,0.9565217391304348,1.0,0.9782608695652174
113,CNN,SimulatedTrainingData_PostionalTime_AutoRegressive_F_50_TS_50.npy,0.46,0.46,1.0,0.46,0.5
114,LSTM,SimulatedTrainingData_PostionalTime_Box_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
115,LSTM_ATT,SimulatedTrainingData_PostionalTime_Box_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
116,CNN,SimulatedTrainingData_PostionalTime_Box_F_50_TS_50.npy,0.45,0.45,0.0,0.0,0.5
117,LSTM,SimulatedTrainingData_PostionalTime_CAR_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
118,LSTM_ATT,SimulatedTrainingData_PostionalTime_CAR_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
119,CNN,SimulatedTrainingData_PostionalTime_CAR_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
120,LSTM,SimulatedTrainingData_PostionalTime_NARMA_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
121,LSTM_ATT,SimulatedTrainingData_PostionalTime_NARMA_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
122,CNN,SimulatedTrainingData_PostionalTime_NARMA_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
123,LSTM,SimulatedTrainingData_PostionalTime_PseudoPeriodic_F_50_TS_50.npy,0.53,0.53,1.0,0.53,0.5
124,LSTM_ATT,SimulatedTrainingData_PostionalTime_PseudoPeriodic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
125,CNN,SimulatedTrainingData_PostionalTime_PseudoPeriodic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
126,LSTM,SimulatedTrainingData_RareFeature_AutoRegressive_F_50_TS_50.npy,0.47,0.47,0.0,0.0,0.5
127,LSTM_ATT,SimulatedTrainingData_RareFeature_AutoRegressive_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
128,CNN,SimulatedTrainingData_RareFeature_AutoRegressive_F_50_TS_50.npy,0.47,0.47,0.0,0.0,0.5
129,LSTM,SimulatedTrainingData_RareFeature_Box_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
130,LSTM_ATT,SimulatedTrainingData_RareFeature_Box_F_50_TS_50.npy,0.99,0.99,1.0,0.9803921568627452,0.99
131,CNN,SimulatedTrainingData_RareFeature_Box_F_50_TS_50.npy,0.5,0.5,1.0,0.5,0.5
132,LSTM,SimulatedTrainingData_RareFeature_CAR_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
133,LSTM_ATT,SimulatedTrainingData_RareFeature_CAR_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
134,CNN,SimulatedTrainingData_RareFeature_CAR_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
135,LSTM,SimulatedTrainingData_RareFeature_Harmonic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
136,LSTM_ATT,SimulatedTrainingData_RareFeature_Harmonic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
137,CNN,SimulatedTrainingData_RareFeature_Harmonic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
138,LSTM,SimulatedTrainingData_RareFeature_NARMA_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
139,LSTM_ATT,SimulatedTrainingData_RareFeature_NARMA_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
140,CNN,SimulatedTrainingData_RareFeature_NARMA_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
141,LSTM,SimulatedTrainingData_RareFeature_PseudoPeriodic_F_50_TS_50.npy,0.49,0.49,0.3818181818181818,0.5526315789473685,0.502020202020202
142,LSTM_ATT,SimulatedTrainingData_RareFeature_PseudoPeriodic_F_50_TS_50.npy,0.55,0.55,1.0,0.55,0.5
143,CNN,SimulatedTrainingData_RareFeature_PseudoPeriodic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
144,LSTM,SimulatedTrainingData_RareTime_AutoRegressive_F_50_TS_50.npy,0.99,0.99,1.0,0.9777777777777776,0.9910714285714284
145,LSTM_ATT,SimulatedTrainingData_RareTime_AutoRegressive_F_50_TS_50.npy,0.95,0.95,0.9090909090909092,0.975609756097561,0.9456168831168832
146,CNN,SimulatedTrainingData_RareTime_AutoRegressive_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
147,LSTM,SimulatedTrainingData_RareTime_Box_F_50_TS_50.npy,0.51,0.51,0.72,0.5070422535211268,0.51
148,LSTM_ATT,SimulatedTrainingData_RareTime_Box_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
149,CNN,SimulatedTrainingData_RareTime_Box_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
150,LSTM,SimulatedTrainingData_RareTime_CAR_F_50_TS_50.npy,0.54,0.54,0.5283018867924528,0.5714285714285714,0.5407466880770775
151,LSTM_ATT,SimulatedTrainingData_RareTime_CAR_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
152,CNN,SimulatedTrainingData_RareTime_CAR_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
153,LSTM,SimulatedTrainingData_RareTime_Harmonic_F_50_TS_50.npy,0.55,0.55,0.7368421052631579,0.5833333333333334,0.5195838433292534
154,LSTM_ATT,SimulatedTrainingData_RareTime_Harmonic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
155,CNN,SimulatedTrainingData_RareTime_Harmonic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
156,LSTM,SimulatedTrainingData_RareTime_NARMA_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
157,LSTM_ATT,SimulatedTrainingData_RareTime_NARMA_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
158,CNN,SimulatedTrainingData_RareTime_NARMA_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
159,LSTM,SimulatedTrainingData_RareTime_PseudoPeriodic_F_50_TS_50.npy,0.87,0.87,0.7755102040816326,0.95,0.8681472589035614
160,LSTM_ATT,SimulatedTrainingData_RareTime_PseudoPeriodic_F_50_TS_50.npy,0.51,0.51,0.0,0.0,0.5
161,CNN,SimulatedTrainingData_RareTime_PseudoPeriodic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
162,LSTM,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,0.99,0.99,0.9818181818181818,1.0,0.990909090909091
163,LSTM_ATT,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,0.97,0.97,0.9818181818181818,0.9642857142857144,0.9686868686868688
164,CNN,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,0.55,0.55,1.0,0.55,0.5
165,LSTM,SimulatedTrainingData_SmallMiddle_Box_F_50_TS_50.npy,0.49,0.49,0.4893617021276595,0.46,0.4899638699317543
166,LSTM_ATT,SimulatedTrainingData_SmallMiddle_Box_F_50_TS_50.npy,0.99,0.99,0.9787234042553192,1.0,0.9893617021276596
167,CNN,SimulatedTrainingData_SmallMiddle_Box_F_50_TS_50.npy,0.53,0.53,0.0,0.0,0.5
168,LSTM,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,0.51,0.51,0.5416666666666666,0.490566037735849,0.5112179487179487
169,LSTM_ATT,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
170,CNN,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,0.52,0.52,0.0,0.0,0.5
171,LSTM,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,0.44,0.44,0.5769230769230769,0.46875,0.4342948717948717
172,LSTM_ATT,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
173,CNN,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
174,LSTM,SimulatedTrainingData_SmallMiddle_NARMA_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
175,LSTM_ATT,SimulatedTrainingData_SmallMiddle_NARMA_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
176,CNN,SimulatedTrainingData_SmallMiddle_NARMA_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
177,LSTM,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,0.97,0.97,1.0,0.94,0.9716981132075472
178,LSTM_ATT,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
179,CNN,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,0.98,0.98,1.0,0.9591836734693876,0.981132075471698
180,CNN,SimulatedTrainingData_Middle_AutoRegressive_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
181,CNN,SimulatedTrainingData_Middle_Box_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
182,CNN,SimulatedTrainingData_Middle_CAR_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
183,CNN,SimulatedTrainingData_Middle_Harmonic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
184,CNN,SimulatedTrainingData_Middle_NARMA_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
185,CNN,SimulatedTrainingData_Middle_PseudoPeriodic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
186,CNN,SimulatedTrainingData_Moving_Middle_AutoRegressive_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
187,CNN,SimulatedTrainingData_Moving_Middle_Box_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
188,CNN,SimulatedTrainingData_Moving_Middle_CAR_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
189,CNN,SimulatedTrainingData_Moving_Middle_NARMA_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
190,CNN,SimulatedTrainingData_Moving_Middle_PseudoPeriodic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
