,monoton_synthetic_mean,faithfulness_correlation_synthetic_flex_mean,monoton_synthetic_std,faithfulness_correlation_synthetic_flex_std,transformer,epochs,Datasets,Typ,Generation,models,faithfulness_correlation_synthtic_flex_mean,faithfulness_correlation_synthtic_flex_std,method,tsr
17,1.0,0.07527260316063614,0.0,0.17462830597911233,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,CNN,,,FO,True
18,1.0,0.04583014858220843,0.0,0.12818818657914083,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,CNN,,,SG,True
19,1.0,0.025832974224400895,0.0,0.0959341078930094,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,CNN,,,GS,True
20,1.0,0.04189128791262903,0.0,0.21824178863413424,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,CNN,,,IG,True
21,1.0,0.003018995823538896,0.0,0.20200980752158343,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,CNN,,,GRAD,True
22,1.0,0.0265851068010833,0.0,0.11415853230091469,authentic_opposing_information,100,SimulatedTrainingData_SmallMiddle_NARMA_F_50_TS_50.npy,SmallMiddle,NARMA,LSTM,,,,
23,1.0,0.037229723293774705,0.0,0.12145047935858624,,,SimulatedTrainingData_SmallMiddle_NARMA_F_50_TS_50.npy,SmallMiddle,NARMA,LSTM,,,FO,False
24,1.0,-0.026444166322991493,0.0,0.12196819444790197,,,SimulatedTrainingData_SmallMiddle_NARMA_F_50_TS_50.npy,SmallMiddle,NARMA,LSTM,,,SG,False
25,1.0,0.046553364100048594,0.0,0.0996022947772407,,,SimulatedTrainingData_SmallMiddle_NARMA_F_50_TS_50.npy,SmallMiddle,NARMA,LSTM,,,GS,False
26,1.0,-0.018446471994210165,0.0,0.1512581691552108,,,SimulatedTrainingData_SmallMiddle_NARMA_F_50_TS_50.npy,SmallMiddle,NARMA,LSTM,,,IG,False
27,1.0,-0.002149439947174024,0.0,0.1544667459579353,,,SimulatedTrainingData_SmallMiddle_NARMA_F_50_TS_50.npy,SmallMiddle,NARMA,LSTM,,,GRAD,False
28,1.0,0.07371386113298767,0.0,0.13391532357109348,,,SimulatedTrainingData_SmallMiddle_NARMA_F_50_TS_50.npy,SmallMiddle,NARMA,LSTM,,,FO,True
29,1.0,0.011831153510617434,0.0,0.09852976384141923,,,SimulatedTrainingData_SmallMiddle_NARMA_F_50_TS_50.npy,SmallMiddle,NARMA,LSTM,,,SG,True
30,1.0,0.00384026979062919,0.0,0.07555040070549032,,,SimulatedTrainingData_SmallMiddle_NARMA_F_50_TS_50.npy,SmallMiddle,NARMA,LSTM,,,GS,True
31,1.0,-0.03338773409394115,0.0,0.10030312296707877,,,SimulatedTrainingData_SmallMiddle_NARMA_F_50_TS_50.npy,SmallMiddle,NARMA,LSTM,,,IG,True
32,1.0,0.020125112292511647,0.0,0.16617487325833982,,,SimulatedTrainingData_SmallMiddle_NARMA_F_50_TS_50.npy,SmallMiddle,NARMA,LSTM,,,GRAD,True
33,1.0,-0.02335213138682234,0.0,0.09903094768222634,authentic_opposing_information,100,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM,,,,
34,1.0,0.022070563239772505,0.0,0.0916805934047646,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM,,,FO,False
35,1.0,0.016174832153297534,0.0,0.1141109225168242,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM,,,SG,False
36,1.0,0.01324227183210588,0.0,0.13615309874198997,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM,,,GS,False
37,1.0,-0.003136731462656271,0.0,0.094681622997451,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM,,,IG,False
38,1.0,-0.00773147930998581,0.0,0.15959682498134148,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM,,,GRAD,False
39,1.0,0.006659765649933283,0.0,0.10804883342558037,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM,,,FO,True
40,1.0,0.02590249923267331,0.0,0.07582315279110398,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM,,,SG,True
41,1.0,-0.01639441256909665,0.0,0.1083956337245076,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM,,,GS,True
42,1.0,0.001170355054935028,0.0,0.08437521241390764,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM,,,IG,True
43,1.0,0.01613785447313479,0.0,0.128120663912005,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM,,,GRAD,True
44,1.0,-0.007041642351014847,0.0,0.1540275227534918,authentic_opposing_information,100,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN,,,,
45,1.0,0.04856482967440249,0.0,0.17378935791219124,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN,,,FO,False
46,1.0,0.07393815212726688,0.0,0.18390485930428935,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN,,,SG,False
47,1.0,0.03706739086710429,0.0,0.228109048611074,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN,,,GS,False
48,1.0,0.12523636020998474,0.0,0.20415537589271035,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN,,,IG,False
49,1.0,0.03634648111193271,0.0,0.22335910344061424,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN,,,GRAD,False
50,1.0,-0.022624499189296054,0.0,0.18407678641931907,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN,,,FO,True
51,1.0,-0.019146564280019252,0.0,0.089594816535726,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN,,,SG,True
52,1.0,-0.0029159120133494523,0.0,0.09451637266100385,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN,,,GS,True
53,1.0,0.03876132649242383,0.0,0.1799489186981509,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN,,,IG,True
54,1.0,-0.023546213608675138,0.0,0.16146552405635542,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN,,,GRAD,True
55,1.0,-0.009365677950778879,0.0,0.1095102522197203,authentic_opposing_information,100,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,LSTM,,,,
56,1.0,-0.042159655585776834,0.0,0.11899402834691024,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,LSTM,,,FO,False
57,1.0,-0.02772689047275389,0.0,0.1967274260464488,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,LSTM,,,SG,False
58,1.0,-0.0007567906651027995,0.0,0.19165982243515373,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,LSTM,,,GS,False
59,1.0,-0.005646565024049975,0.0,0.1898435642791446,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,LSTM,,,IG,False
60,1.0,-0.020945663342683808,0.0,0.23215079396581284,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,LSTM,,,GRAD,False
61,1.0,0.011902025459111508,0.0,0.3043894601700813,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,LSTM,,,FO,True
62,1.0,0.000996088907686414,0.0,0.10174441993257194,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,LSTM,,,SG,True
63,1.0,-0.05119847474780433,0.0,0.11512854264662929,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,LSTM,,,GS,True
64,1.0,0.04230774156967791,0.0,0.2518060416353498,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,LSTM,,,IG,True
65,1.0,0.07317560897705071,0.0,0.2984940130508854,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,LSTM,,,GRAD,True
66,1.0,-0.05792930375490425,0.0,0.23955819449695653,authentic_opposing_information,100,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,CNN,,,,
67,1.0,0.26538529875478784,0.0,0.14585668222691142,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,CNN,,,FO,False
68,1.0,0.2575691051349657,0.0,0.2478134207777405,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,CNN,,,SG,False
69,1.0,0.286819772283207,0.0,0.23009638441938085,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,CNN,,,GS,False
70,1.0,0.22646005441259281,0.0,0.20704495332322495,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,CNN,,,IG,False
71,1.0,0.11623799791214755,0.0,0.18608114950948915,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,CNN,,,GRAD,False
72,1.0,-0.04062611754320829,0.0,0.21588875840516844,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,CNN,,,FO,True
73,1.0,-0.022991846418583605,0.0,0.1112760481815952,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,CNN,,,SG,True
74,1.0,-0.020907966395713157,0.0,0.1041468981543617,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,CNN,,,GS,True
75,1.0,0.07611958082814384,0.0,0.3076033911380396,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,CNN,,,IG,True
76,1.0,-0.029056910273170616,0.0,0.16171702200131488,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,CNN,,,GRAD,True
77,1.0,0.008822825834681955,0.0,0.06350854532636241,authentic_opposing_information,100,SimulatedTrainingData_SmallMiddle_Box_F_50_TS_50.npy,SmallMiddle,Box,LSTM,,,,
78,1.0,0.037364147972409265,0.0,0.09657647271648806,,,SimulatedTrainingData_SmallMiddle_Box_F_50_TS_50.npy,SmallMiddle,Box,LSTM,,,FO,False
79,1.0,0.04702455917703345,0.0,0.3198013286114858,,,SimulatedTrainingData_SmallMiddle_Box_F_50_TS_50.npy,SmallMiddle,Box,LSTM,,,FO,True
80,1.0,0.014237757087591615,0.0,0.12200229485151119,authentic_opposing_information,100,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,,,,
81,1.0,-0.012060495623003004,0.0,0.0918070055548932,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,,,FO,False
82,1.0,0.02992982287270905,0.0,0.11431727999468112,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,,,SG,False
83,1.0,0.0160104029556531,0.0,0.15254879778355404,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,,,GS,False
84,1.0,0.02206886542268726,0.0,0.11686220155153663,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,,,IG,False
85,1.0,0.08132966806315343,0.0,0.21921906782446565,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,,,GRAD,False
86,1.0,0.016507891196308227,0.0,0.14978721591322908,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,,,FO,True
87,1.0,-0.009972844971372203,0.0,0.08872069888618228,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,,,SG,True
88,1.0,-0.021469620457839574,0.0,0.11558487702184102,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,,,GS,True
89,1.0,0.0037773143605554617,0.0,0.135388737122493,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,,,IG,True
90,1.0,-0.01297309429599503,0.0,0.13259561348940654,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,,,GRAD,True
91,1.0,-0.017506119895244532,0.0,0.12477780750158678,authentic_opposing_information,100,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,CNN,,,,
92,1.0,0.05871669078135535,0.0,0.0978840528261297,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,CNN,,,FO,False
93,1.0,0.08755178261098365,0.0,0.1432257416056164,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,CNN,,,SG,False
94,1.0,0.04911665445069541,0.0,0.16081311999570477,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,CNN,,,GS,False
95,1.0,0.07375290175862176,0.0,0.13392426514206382,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,CNN,,,IG,False
96,1.0,0.04057838807188731,0.0,0.16680029087939297,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,CNN,,,GRAD,False
97,1.0,0.06729281330213334,0.0,0.1784019143749787,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,CNN,,,FO,True
98,1.0,-0.04417067055400072,0.0,0.10195050180264251,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,CNN,,,SG,True
99,1.0,-0.002964236331033146,0.0,0.12840337492410658,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,CNN,,,GS,True
100,1.0,0.07589321911157051,0.0,0.1410120436334559,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,CNN,,,IG,True
101,1.0,0.042450308172347635,0.0,0.16843889003358797,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,CNN,,,GRAD,True
102,1.0,0.04270035143412745,0.0,0.10497955074564348,authentic_opposing_information,100,SimulatedTrainingData_Moving_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM,,,,
103,1.0,-0.02732048581697854,0.0,0.08428701965249297,,,SimulatedTrainingData_Moving_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM,,,FO,False
104,1.0,0.11223402540833667,0.0,0.19406974861840892,,,SimulatedTrainingData_Moving_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM,,,FO,True
