,Pointing_mean,Relevance Rank_mean,Relevance Mass_mean,AuC_mean,Pointing_std,Relevance Rank_std,Relevance Mass_std,AuC_std,transformer,epochs,Datasets,Typ,Generation,models,method,tsr
10,0.0,0.06505102040816327,0.0509589847020183,0.4947328736181973,0.0,0.08358754528269109,0.0494636876528432,0.12102453279271924,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM,GRAD,True
11,0.4,0.06811224489795917,0.06824757692644287,0.42663297415320295,0.5026246899500346,0.04826828084928059,0.008800894275444485,0.06127370075026794,authentic_opposing_information,100,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,CNN,,
12,1.0,0.27219387755102037,0.19391737707273343,0.8085472470238095,0.0,0.018229206626215723,0.018535256953167017,0.04304135566528521,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,CNN,FO,False
13,0.45,0.3752551020408163,0.21455026267605826,0.7692118188421201,0.5104177855340405,0.37698260038437964,0.16488176512115169,0.234332142412178,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,CNN,SG,False
14,0.5,0.44515306122448983,0.3193116597805202,0.8525067318594104,0.512989176042577,0.2598108641937747,0.18024735684459353,0.10835018669770081,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,CNN,GS,False
15,0.5,0.4165816326530612,0.3104500400445422,0.8358828036422903,0.512989176042577,0.27266741083916457,0.18316442177960915,0.13062699172633743,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,CNN,IG,False
16,0.45,0.4533163265306122,0.2781937935082452,0.8716908149978743,0.5104177855340405,0.3598686642539994,0.18364345002794039,0.1644510361045577,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,CNN,GRAD,False
17,0.3,0.28341836734693876,0.1927587928625318,0.644004493073271,0.4701623459816272,0.2881754657869456,0.18613876943464078,0.29280687759109125,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,CNN,FO,True
18,0.15,0.07653061224489796,0.07778649037702347,0.49563835299744896,0.36634754853252327,0.03993407399574931,0.020789956509056635,0.06165911482811066,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,CNN,SG,True
19,0.2,0.07627551020408163,0.07776437951897254,0.5002916400935374,0.4103913408340617,0.05248893540913636,0.021558069901308954,0.06802328084920638,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,CNN,GS,True
20,0.35,0.3081632653061225,0.2205975972168639,0.662126204648526,0.4893604849295929,0.31009947922622305,0.20772702031003634,0.29261670119766187,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,CNN,IG,True
21,0.3,0.14566326530612245,0.11606524982236419,0.5519770408163266,0.4701623459816272,0.19122697015747997,0.13103349852031326,0.25202070688157907,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,CNN,GRAD,True
22,0.2,0.10663265306122449,0.07481334330690445,0.47464524872448977,0.4103913408340617,0.05186994124028049,0.008805907513632,0.06026591580089508,authentic_opposing_information,100,SimulatedTrainingData_SmallMiddle_NARMA_F_50_TS_50.npy,SmallMiddle,NARMA,LSTM,,
23,0.55,0.14387755102040817,0.1240452000624069,0.610870845734127,0.5104177855340404,0.08325456429100102,0.05494354254653612,0.071496504597058,,,SimulatedTrainingData_SmallMiddle_NARMA_F_50_TS_50.npy,SmallMiddle,NARMA,LSTM,FO,False
24,0.0,0.0002551020408163265,0.032096724521377074,0.48694750035430834,0.0,0.0011408510089284643,0.012501536455887922,0.042326742409228325,,,SimulatedTrainingData_SmallMiddle_NARMA_F_50_TS_50.npy,SmallMiddle,NARMA,LSTM,SG,False
25,0.5,0.17372448979591834,0.13249609335175666,0.6346666400935375,0.512989176042577,0.08452636689906422,0.04595791760065979,0.07063173398610424,,,SimulatedTrainingData_SmallMiddle_NARMA_F_50_TS_50.npy,SmallMiddle,NARMA,LSTM,GS,False
26,0.4,0.16938775510204082,0.1274511529755863,0.6186015226403062,0.5026246899500346,0.07470247583645354,0.03793164047195891,0.07678059550427858,,,SimulatedTrainingData_SmallMiddle_NARMA_F_50_TS_50.npy,SmallMiddle,NARMA,LSTM,IG,False
27,0.0,0.053316326530612246,0.07249586328757376,0.5296140917304423,0.0,0.04552808841661854,0.023960185962704737,0.0857503166725758,,,SimulatedTrainingData_SmallMiddle_NARMA_F_50_TS_50.npy,SmallMiddle,NARMA,LSTM,GRAD,False
28,0.1,0.15051020408163268,0.17518290850649904,0.6169566459396258,0.30779350562554625,0.11802215490872735,0.15362698026259844,0.1443981307548901,,,SimulatedTrainingData_SmallMiddle_NARMA_F_50_TS_50.npy,SmallMiddle,NARMA,LSTM,FO,True
29,0.3,0.0854591836734694,0.08253108570457962,0.506251882263322,0.4701623459816272,0.02909199506339247,0.01792824631190746,0.04916491421054469,,,SimulatedTrainingData_SmallMiddle_NARMA_F_50_TS_50.npy,SmallMiddle,NARMA,LSTM,SG,True
30,0.05,0.1,0.09517866552761625,0.50823313049178,0.22360679774997894,0.029951699062437217,0.05379656818895007,0.04362990324588828,,,SimulatedTrainingData_SmallMiddle_NARMA_F_50_TS_50.npy,SmallMiddle,NARMA,LSTM,GS,True
31,0.5,0.24617346938775514,0.2062237460685464,0.667697427278203,0.512989176042577,0.14951014037666815,0.11059415472296333,0.15277114558350507,,,SimulatedTrainingData_SmallMiddle_NARMA_F_50_TS_50.npy,SmallMiddle,NARMA,LSTM,IG,True
32,0.05,0.12423469387755104,0.12571689764602628,0.599724968112245,0.22360679774997894,0.09724603631033268,0.10233799480606287,0.1262308464483146,,,SimulatedTrainingData_SmallMiddle_NARMA_F_50_TS_50.npy,SmallMiddle,NARMA,LSTM,GRAD,True
33,0.45,0.0635204081632653,0.07247753074973998,0.46030755075467694,0.5104177855340405,0.059164109326098675,0.009362712783473648,0.06197124777932912,authentic_opposing_information,100,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM,,
34,0.2,0.07806122448979591,0.08160277856960331,0.5236777653769842,0.41039134083406165,0.07698753679387006,0.017946759310992492,0.07482613858907879,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM,FO,False
35,0.05,0.02193877551020408,0.05829959788347291,0.5096777675914115,0.22360679774997894,0.03132451002345826,0.021656305420743767,0.07468607546476912,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM,SG,False
36,0.35,0.08673469387755102,0.08410221461019586,0.5383434754109977,0.4893604849295929,0.11225710313487998,0.06456500577481114,0.11942090070338288,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM,GS,False
37,0.4,0.15382653061224488,0.1222367155521461,0.6249454143636621,0.5026246899500346,0.13749403395525003,0.0808175382566274,0.13237873853984145,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM,IG,False
38,0.0,0.011224489795918367,0.04228771641228663,0.45363608985260767,0.0,0.019627942920072798,0.019871689240367616,0.07005996944117561,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM,GRAD,False
39,0.05,0.07193877551020408,0.08737767845797201,0.5443132949794502,0.22360679774997894,0.09385682534023541,0.09502530377699026,0.13258174710161277,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM,FO,True
40,0.05,0.06938775510204082,0.06947626852837384,0.4740108152636055,0.22360679774997894,0.031728657888850174,0.020239008416447327,0.05243009370000599,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM,SG,True
41,0.1,0.08801020408163265,0.07200159173953116,0.5049270456880669,0.30779350562554625,0.05366086340593115,0.06145089680865563,0.08763648282546171,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM,GS,True
42,0.3,0.14158163265306123,0.1448612504957692,0.5939278185232426,0.4701623459816272,0.1210295798967273,0.10918276888844405,0.11276630250416272,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM,IG,True
43,0.0,0.05178571428571428,0.07370674439992494,0.5239540151998299,0.0,0.07486140624737275,0.08281125402751273,0.12032031357025989,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM,GRAD,True
44,0.3,0.0770408163265306,0.08471574806181596,0.5432941601119615,0.4701623459816272,0.0817651314933063,0.013113758026840965,0.08587412119548568,authentic_opposing_information,100,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN,,
45,0.85,0.24260204081632658,0.15825958158579095,0.7342974950396826,0.36634754853252327,0.062189737140452235,0.03462863935152893,0.09043907592150956,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN,FO,False
46,0.9,0.6265306122448979,0.23452143575502937,0.9441150483630952,0.30779350562554625,0.15204279873850873,0.058914606945009065,0.035415209570709316,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN,SG,False
47,1.0,0.6415816326530612,0.42427471722155713,0.9271279540462019,0.0,0.06493574061193795,0.05546840025903508,0.023205656805691498,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN,GS,False
48,1.0,0.6553571428571427,0.4349565297073602,0.9289147755456348,0.0,0.03794531438759974,0.03080000238761799,0.013569489624981373,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN,IG,False
49,0.8,0.7038265306122449,0.30810107496473604,0.9568677145337302,0.41039134083406165,0.15382440419055643,0.07574725738305414,0.038545369880009304,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN,GRAD,False
50,0.5,0.39132653061224487,0.26346356788804676,0.8210491292871316,0.512989176042577,0.22720805701549618,0.1312190263494935,0.14342058441549532,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN,FO,True
51,0.0,0.07806122448979594,0.08062961836996818,0.5236473169997165,0.0,0.02843588379241679,0.018986960094973224,0.07384067634658945,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN,SG,True
52,0.2,0.08801020408163265,0.08156096592313045,0.5157104768990931,0.4103913408340617,0.04061021401633445,0.021529658336661088,0.0759327844492913,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN,GS,True
53,0.7,0.5681122448979592,0.3545680598727285,0.9001643105158731,0.4701623459816272,0.2741256683834674,0.14843356407957964,0.10286420286192668,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN,IG,True
54,0.45,0.2653061224489796,0.19332789752083113,0.7453349764384921,0.5104177855340405,0.1824085216233697,0.10256168894570196,0.15194895610362855,,,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN,GRAD,True
55,0.2,0.07168367346938775,0.050292251644403804,0.31212327053217115,0.4103913408340617,0.077065353431003,0.03448455930706258,0.2311281516512583,authentic_opposing_information,100,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,LSTM,,
56,0.0,0.0035714285714285713,0.05357781304288204,0.4356708829365079,0.0,0.015971914124998498,0.008987878419417636,0.05052142055971056,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,LSTM,FO,False
57,0.0,0.0022959183673469385,0.03428908750623399,0.4976193797831633,0.0,0.008020194977529291,0.013991496115371222,0.03152133550866618,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,LSTM,SG,False
58,0.0,0.0,0.0010593919669560554,0.5339612342332768,0.0,0.0,0.0002561477937956022,0.009868814270713793,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,LSTM,GS,False
59,0.0,0.0,0.0010757337087697167,0.508616447881236,0.0,0.0,0.00037805214983922,0.012965446092449704,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,LSTM,IG,False
60,0.0,0.0,0.0008376191276301551,0.5075724560657597,0.0,0.0,0.0003283787748238861,0.01371977616897928,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,LSTM,GRAD,False
61,0.0,0.061479591836734696,0.04462801303783302,0.4968648136337869,0.0,0.04495269951725382,0.009677486099311485,0.0601276743681818,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,LSTM,FO,True
62,0.05,0.06709183673469388,0.07241856736539092,0.4951372280683106,0.22360679774997894,0.03311779084963232,0.02109461703861475,0.06501945315259434,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,LSTM,SG,True
63,0.15,0.07040816326530612,0.07814155330076374,0.501393539186508,0.36634754853252327,0.021684068360592005,0.013637322167579968,0.05473698656993444,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,LSTM,GS,True
64,0.0,0.04209183673469387,0.042964563877472745,0.4849750544749149,0.0,0.03428052713817465,0.009692703500983332,0.06751908910587268,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,LSTM,IG,True
65,0.0,0.06607142857142857,0.043126469353347185,0.47912470326672335,0.0,0.053137467944686136,0.009295172738757013,0.06251978655598915,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,LSTM,GRAD,True
66,0.45,0.06326530612244899,0.047379193432198166,0.2864071800595238,0.5104177855340405,0.05773249568011182,0.01164519094230641,0.09871512934180254,authentic_opposing_information,100,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,CNN,,
67,1.0,0.27627551020408164,0.20025004366537774,0.8190879216269842,0.0,0.0070763746626694305,0.014810279425497988,0.04162171710306128,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,CNN,FO,False
68,0.1,0.23265306122448978,0.14344399068300895,0.7584173708545918,0.30779350562554625,0.19647756304525266,0.07433550979071481,0.19741051365637788,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,CNN,SG,False
69,0.2,0.2862244897959184,0.18407715417453324,0.7762803819444446,0.4103913408340617,0.21583311684171627,0.09567034888415943,0.1335172780029226,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,CNN,GS,False
70,0.05,0.2877551020408163,0.18384815315357328,0.7650772613732992,0.22360679774997894,0.16413069522078672,0.0718114910605429,0.09878002015243527,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,CNN,IG,False
71,0.05,0.07755102040816328,0.12067179860199513,0.7309234826743196,0.22360679774997894,0.08551137047416572,0.061387577735876324,0.17489756743980694,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,CNN,GRAD,False
72,0.0,0.03826530612244898,0.03325048421456374,0.305598404726474,0.0,0.05347223695067867,0.0329601582582163,0.16909952173234274,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,CNN,FO,True
73,0.05,0.08469387755102041,0.08318674025529924,0.5262891289328232,0.22360679774997894,0.037761633249352534,0.01977214951480349,0.06945376126847164,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,CNN,SG,True
74,0.05,0.07372448979591838,0.07727537656547666,0.4891210716057256,0.22360679774997894,0.043528165835266766,0.024683856582863935,0.07672277172158264,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,CNN,GS,True
75,0.0,0.15255102040816326,0.08927012206789689,0.4466986208545918,0.0,0.19016673176431945,0.09456619741420619,0.2902557049244672,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,CNN,IG,True
76,0.0,0.028061224489795915,0.032064594588387604,0.36109422610189906,0.0,0.04543847574388974,0.035584660692736046,0.1968484367595566,,,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,CNN,GRAD,True
77,0.25,0.07193877551020408,0.0766711138296007,0.4924905997555273,0.4442616583193193,0.06137869945434178,0.024567151220466814,0.18053275939695673,authentic_opposing_information,100,SimulatedTrainingData_SmallMiddle_Box_F_50_TS_50.npy,SmallMiddle,Box,LSTM,,
78,0.3,0.10535714285714284,0.08627655075009073,0.5388299851190477,0.4701623459816272,0.04792646345949969,0.013165977455181268,0.047720256872686856,,,SimulatedTrainingData_SmallMiddle_Box_F_50_TS_50.npy,SmallMiddle,Box,LSTM,FO,False
79,0.0,0.0,0.0026066031350693657,0.4221825839710885,0.0,0.0,0.0037596423873437054,0.03506755670602077,,,SimulatedTrainingData_SmallMiddle_Box_F_50_TS_50.npy,SmallMiddle,Box,LSTM,SG,False
80,0.0,0.0,7.456581016956789e-06,0.487709374114229,0.0,0.0,2.9058688609964713e-06,0.011434948848499707,,,SimulatedTrainingData_SmallMiddle_Box_F_50_TS_50.npy,SmallMiddle,Box,LSTM,GS,False
81,0.0,0.0,6.904045689539297e-06,0.4870937632865647,0.0,0.0,2.81273144578687e-06,0.007084721933216744,,,SimulatedTrainingData_SmallMiddle_Box_F_50_TS_50.npy,SmallMiddle,Box,LSTM,IG,False
82,0.0,0.0,6.557374227787302e-06,0.48287240026218825,0.0,0.0,4.124777989534095e-06,0.023971626837948363,,,SimulatedTrainingData_SmallMiddle_Box_F_50_TS_50.npy,SmallMiddle,Box,LSTM,GRAD,False
83,0.0,0.027551020408163263,0.036224487256653566,0.4563944360296202,0.0,0.03520816769823574,0.011299134847351105,0.06948198750937855,,,SimulatedTrainingData_SmallMiddle_Box_F_50_TS_50.npy,SmallMiddle,Box,LSTM,FO,True
84,0.0,0.0732142857142857,0.07366914291528706,0.4901299647463152,0.0,0.031200708072437824,0.018191472371342395,0.05818833932552463,,,SimulatedTrainingData_SmallMiddle_Box_F_50_TS_50.npy,SmallMiddle,Box,LSTM,SG,True
85,0.15,0.07219387755102039,0.07670084732654808,0.49748402290603755,0.36634754853252327,0.03155003764120837,0.012407564764700106,0.043051713751933354,,,SimulatedTrainingData_SmallMiddle_Box_F_50_TS_50.npy,SmallMiddle,Box,LSTM,GS,True
86,0.0,0.027806122448979585,0.036877344462686396,0.46511391014739234,0.0,0.031033399040789937,0.012265687692539525,0.06743004982157168,,,SimulatedTrainingData_SmallMiddle_Box_F_50_TS_50.npy,SmallMiddle,Box,LSTM,IG,True
87,0.0,0.023469387755102038,0.03297346016028505,0.4423565715348641,0.0,0.031900910283215796,0.008883361273555644,0.06180200054731267,,,SimulatedTrainingData_SmallMiddle_Box_F_50_TS_50.npy,SmallMiddle,Box,LSTM,GRAD,True
88,0.3,0.07091836734693877,0.07275910204154458,0.46222474666950114,0.4701623459816272,0.055691146149082764,0.01644948484252429,0.11733227008518318,authentic_opposing_information,100,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,,
89,0.25,0.09719387755102041,0.08937336442529194,0.5530133928571428,0.4442616583193193,0.06961159557720256,0.02241112550325682,0.07769335394859815,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,FO,False
90,0.0,0.037244897959183676,0.06817572555415884,0.5588552185196997,0.0,0.05042890200765282,0.02376114346878737,0.062227532181358326,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,SG,False
91,0.0,0.08086734693877551,0.08555405725669488,0.556298772764314,0.0,0.04515947055920456,0.015851650877039707,0.03974303253774278,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,GS,False
92,0.0,0.08903061224489796,0.08746910005175675,0.5548263446003402,0.0,0.05027585078226064,0.015846188361320825,0.03459102020011689,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,IG,False
93,0.0,0.09566326530612243,0.08677974531141927,0.5934661104024943,0.0,0.10152764354511026,0.029864799921949108,0.11513136903323738,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,GRAD,False
94,0.2,0.12933673469387758,0.10782662920314601,0.5672797862634638,0.4103913408340617,0.14550141167434902,0.0867819901916555,0.13791562778105496,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,FO,True
95,0.1,0.08290816326530612,0.08250390156330947,0.5202789514243197,0.30779350562554625,0.041378877086087056,0.023176686776828933,0.06637877874469826,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,SG,True
96,0.0,0.07806122448979591,0.0782888192228648,0.5013222346230158,0.0,0.03775074727403883,0.024212059400711018,0.07901581841257044,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,GS,True
97,0.05,0.1221938775510204,0.10793047275900843,0.5857951676764456,0.22360679774997894,0.12335720951722248,0.07568131224771062,0.12806244583341478,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,IG,True
98,0.2,0.12678571428571428,0.1068005982692731,0.560521575166525,0.4103913408340617,0.14999867561907576,0.09030817972759947,0.13368045098886291,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,GRAD,True
99,0.25,0.07474489795918368,0.07085432910190552,0.44592191043083895,0.4442616583193193,0.03709820588987108,0.013427584536965312,0.09637223713920558,authentic_opposing_information,100,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,CNN,,
100,0.85,0.19387755102040816,0.14561576381322916,0.7050781250000001,0.36634754853252327,0.06641941773089335,0.031486884963737014,0.09106035186932156,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,CNN,FO,False
101,0.5,0.18622448979591838,0.12558459751235096,0.6688587283871883,0.512989176042577,0.15727723828579776,0.06668087375483157,0.2036386095855446,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,CNN,SG,False
102,0.6,0.23418367346938776,0.17262190654679738,0.7163080401431405,0.5026246899500346,0.14354502943373196,0.08455052642116828,0.12491594812007037,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,CNN,GS,False
103,0.45,0.2147959183673469,0.16472444777460293,0.6995047433035715,0.5104177855340405,0.16541532110853874,0.09767720727128838,0.14198564147972853,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,CNN,IG,False
104,0.2,0.21122448979591835,0.13662444646196878,0.7335205631731859,0.4103913408340617,0.18605538722503112,0.08887677731148202,0.1836159439764616,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,CNN,GRAD,False
